libra_field,jsonpath,container,funcapp_xhibit_status,funcapp_libra_action,canonical_field,canonical_status,pcfdlrm_field,pcfdlrm_status,progression_field,progression_status,change_required,change_type,change_detail,tier,notes
n/a,$.migratedCase.caseDetails.dateOfCommittal,caseDetails,not_validated,omit,dateOfCommittal,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-combinator,"Canonical: caseDetails requires one of dateOfCommittal/dateOfSending via an anyOf branch, and the LIBRA sheet has none of them — drop or source-system-scope that branch. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: nothing to do — LIBRA does not supply dateOfCommittal",n/a-already-in-canonical,part of an anyOf required-branch with dateOfSending
n/a,$.migratedCase.caseDetails.dateOfSending,caseDetails,not_validated,omit,dateOfSending,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-combinator,"Canonical: caseDetails requires one of dateOfSending/dateOfCommittal via an anyOf branch, and the LIBRA sheet has none of them — drop or source-system-scope that branch. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: nothing to do — LIBRA does not supply dateOfSending",n/a-already-in-canonical,part of an anyOf required-branch with dateOfCommittal
n/a,$.migratedCase.caseDetails.dateReceived,caseDetails,required,omit,dateReceived,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,"Canonical: make caseDetails.dateReceived optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: the XHIBIT gate schema declares dateReceived (required) — the new LIBRA schema must OMIT it, so do not carry the entry across when authoring that file; XHIBIT's own file is unchanged",n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
initiationCode,$.migratedCase.caseDetails.initiationCode,caseDetails,required,require,initiationCode,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,yes,relax-enum,"Canonical: drop or extend the enum O — LIBRA supplies C, J, Q, S on caseDetails.initiationCode. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: declare and require initiationCode in the new LIBRA schema — the sheet marks it mandatory for every LIBRA case type; XHIBIT's own file is unchanged",n/a-already-in-canonical,"LIBRA string, maxLength 1 vs canonical string, enum O"
n/a,$.migratedCase.caseDetails.receiptType,caseDetails,required,omit,receiptType,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,"Canonical: make caseDetails.receiptType optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: the XHIBIT gate schema declares receiptType (required) — the new LIBRA schema must OMIT it, so do not carry the entry across when authoring that file; XHIBIT's own file is unchanged",n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.caseDetails.receivingCourt,caseDetails,required,omit,receivingCourt,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,"Canonical: make caseDetails.receivingCourt optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: the XHIBIT gate schema declares receivingCourt (required) — the new LIBRA schema must OMIT it, so do not carry the entry across when authoring that file; XHIBIT's own file is unchanged",n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.caseDetails.retrialIndicator,caseDetails,required,omit,retrialIndicator,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,"Canonical: make caseDetails.retrialIndicator optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: the XHIBIT gate schema declares retrialIndicator (required) — the new LIBRA schema must OMIT it, so do not carry the entry across when authoring that file; XHIBIT's own file is unchanged",n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.hearings[*].durationMinutes,hearings[*],not_validated,not-validated-at-gate,durationMinutes,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make hearings[*].durationMinutes optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
hearingType,$.migratedCase.hearings[*].hearingType,hearings[*],not_validated,not-validated-at-gate,hearingType,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,yes,review-constraint,"Canonical: hearings[*].hearingType — canonical bounds maxLength 10 where the sheet states no limit — confirm LIBRA values fit before deciding. If it is relaxed, guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,"LIBRA string vs canonical string, maxLength 10"
markerTypeCode,$.migratedCase.caseDetails.caseMarkers[*].markerTypeCode,caseDetails.caseMarkers[*],not_validated,declare,markerTypeCode,exists_optional_in_libra_required_in_canonical,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,"Canonical: make caseDetails.caseMarkers[*].markerTypeCode optional — the sheet marks it optional or conditionally mandatory for at least one LIBRA case type. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: declare markerTypeCode as optional in the new LIBRA schema — the generated caseDetails is closed (additionalProperties:false), so an undeclared field is rejected at the gate; XHIBIT's own file is unchanged",n/a-already-in-canonical,
arrestDate,$.migratedCase.defendants[*].offences[*].arrestDate,defendants[*].offences[*],not_validated,not-validated-at-gate,arrestDate,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,yes,review-constraint,"Canonical: defendants[*].offences[*].arrestDate — canonical enforces a pattern the sheet does not describe — confirm LIBRA values match it. If it is relaxed, guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,"LIBRA string vs canonical string, pattern"
offenceDateCode,$.migratedCase.defendants[*].offences[*].offenceDateCode,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceDateCode,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,yes,relax-constraint,Canonical: widen maximum to 9 (canonical 6) on defendants[*].offences[*].offenceDateCode. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA integer, maximum 9, minimum 0 vs canonical integer, maximum 6, minimum 1"
n/a,$.migratedCase.defendants[*].offences[*].prosecutorOffenceId,defendants[*].offences[*],not_validated,not-validated-at-gate,prosecutorOffenceId,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make defendants[*].offences[*].prosecutorOffenceId optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.hearings[*].weekCommencingDate.startDate,hearings[*].weekCommencingDate,not_validated,not-validated-at-gate,startDate,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make hearings[*].weekCommencingDate.startDate optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
observedEthnicity,$.migratedCase.defendants[*].individual.personalInformation.observedEthnicity,defendants[*].individual.personalInformation,not_validated,not-validated-at-gate,observedEthnicity,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,yes,review-constraint,"Canonical: defendants[*].individual.personalInformation.observedEthnicity — type differs — LIBRA string vs canonical integer. If it is relaxed, guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,LIBRA string vs canonical integer
gender,$.migratedCase.defendants[*].individual.selfDefinedInformation.gender,defendants[*].individual.selfDefinedInformation,not_validated,not-validated-at-gate,gender,exists_optional_in_libra_required_in_canonical,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make defendants[*].individual.selfDefinedInformation.gender optional — the sheet marks it optional or conditionally mandatory for at least one LIBRA case type. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
allocationDecisionCode,$.migratedCase.defendants[*].offences[*].allocationDecision.motReasonId,defendants[*].offences[*].allocationDecision,not_validated,not-validated-at-gate,motReasonId,exists_renamed_and_retyped,n/a,already_flowing,n/a,assumed_flowing,yes,map-rename,"Transformation: LIBRA supplies allocationDecisionCode (a reference-data code) where canonical defendants[*].offences[*].allocationDecision.motReasonId expects a resolved UUID — resolve it in the LIBRA transformation strategy, not by loosening the canonical type. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,
pleaCode,$.migratedCase.defendants[*].offences[*].plea.id,defendants[*].offences[*].plea,not_validated,not-validated-at-gate,id,exists_renamed_and_retyped,n/a,already_flowing,n/a,assumed_flowing,yes,map-rename,"Transformation: LIBRA supplies pleaCode (a reference-data code) where canonical defendants[*].offences[*].plea.id expects a resolved UUID — resolve it in the LIBRA transformation strategy, not by loosening the canonical type. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,
verdictCode,$.migratedCase.defendants[*].offences[*].verdict.id,defendants[*].offences[*].verdict,not_validated,not-validated-at-gate,id,exists_renamed_and_retyped,n/a,already_flowing,n/a,assumed_flowing,yes,map-rename,"Transformation: LIBRA supplies verdictCode (a reference-data code) where canonical defendants[*].offences[*].verdict.id expects a resolved UUID — resolve it in the LIBRA transformation strategy, not by loosening the canonical type. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].individual.parentGuardianInformation.address.address1,defendants[*].individual.parentGuardianInformation.address,not_validated,not-validated-at-gate,address1,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make defendants[*].individual.parentGuardianInformation.address.address1 optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.defendants[*].individual.parentGuardianInformation.personalInformation.surname,defendants[*].individual.parentGuardianInformation.personalInformation,not_validated,not-validated-at-gate,surname,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make defendants[*].individual.parentGuardianInformation.personalInformation.surname optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.defendants[*].individual.personalInformation.address.address1,defendants[*].individual.personalInformation.address,not_validated,not-validated-at-gate,address1,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make defendants[*].individual.personalInformation.address.address1 optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
n/a,$.migratedCase.defendants[*].individual.parentGuardianInformation.personalInformation.address.address1,defendants[*].individual.parentGuardianInformation.personalInformation.address,not_validated,not-validated-at-gate,address1,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,yes,relax-required,Canonical: make defendants[*].individual.parentGuardianInformation.personalInformation.address.address1 optional — LIBRA never supplies it. Guard: relaxing the shared schema drops this check for XHIBIT too — re-impose it in the XHIBIT validation rules keyed on migrationSourceSystemName. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,required in canonical but absent from the LIBRA sheet — blocker
cpsOrganisation,$.migratedCase.caseDetails.cpsOrganisation,caseDetails,not_validated,declare,cpsOrganisation,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,"Identical on both sides. Func-app: declare cpsOrganisation as optional in the new LIBRA schema — the generated caseDetails is closed (additionalProperties:false), so an undeclared field is rejected at the gate; XHIBIT's own file is unchanged",n/a-already-in-canonical,
originatingOrganisation,$.migratedCase.caseDetails.originatingOrganisation,caseDetails,required,require,originatingOrganisation,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: declare and require originatingOrganisation in the new LIBRA schema — the sheet marks it mandatory for every LIBRA case type; XHIBIT's own file is unchanged,n/a-already-in-canonical,
prosecutorCaseReference,$.migratedCase.caseDetails.prosecutorCaseReference,caseDetails,required,require,prosecutorCaseReference,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: declare and require prosecutorCaseReference in the new LIBRA schema — the sheet marks it mandatory for every LIBRA case type; XHIBIT's own file is unchanged,n/a-already-in-canonical,
n/a,$.migratedCase.caseDetails.sendingCourt,caseDetails,not_validated,omit,sendingCourt,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: nothing to do — LIBRA does not supply sendingCourt,n/a-already-in-canonical,
aliasForCorporate,$.migratedCase.defendants[*].aliasForCorporate,defendants[*],not_validated,not-validated-at-gate,aliasForCorporate,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
asn,$.migratedCase.defendants[*].asn,defendants[*],not_validated,not-validated-at-gate,asn,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
croNumber,$.migratedCase.defendants[*].croNumber,defendants[*],not_validated,not-validated-at-gate,croNumber,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
documentationLanguage,$.migratedCase.defendants[*].documentationLanguage,defendants[*],not_validated,not-validated-at-gate,documentationLanguage,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].emailAddress1,defendants[*],not_validated,not-validated-at-gate,emailAddress1,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].emailAddress2,defendants[*],not_validated,not-validated-at-gate,emailAddress2,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
hearingLanguage,$.migratedCase.defendants[*].hearingLanguage,defendants[*],not_validated,not-validated-at-gate,hearingLanguage,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].id,defendants[*],not_validated,not-validated-at-gate,id,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
languageRequirement,$.migratedCase.defendants[*].languageRequirement,defendants[*],not_validated,not-validated-at-gate,languageRequirement,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
organisationName,$.migratedCase.defendants[*].organisationName,defendants[*],not_validated,not-validated-at-gate,organisationName,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
pncIdentifier,$.migratedCase.defendants[*].pncIdentifier,defendants[*],not_validated,not-validated-at-gate,pncIdentifier,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
prosecutorDefendantId,$.migratedCase.defendants[*].prosecutorDefendantId,defendants[*],not_validated,not-validated-at-gate,prosecutorDefendantId,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
specificRequirements,$.migratedCase.defendants[*].specificRequirements,defendants[*],not_validated,not-validated-at-gate,specificRequirements,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
telephoneNumberBusiness,$.migratedCase.defendants[*].telephoneNumberBusiness,defendants[*],not_validated,not-validated-at-gate,telephoneNumberBusiness,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
courtHearingLocation,$.migratedCase.hearings[*].courtHearingLocation,hearings[*],not_validated,not-validated-at-gate,courtHearingLocation,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.hearings[*].courtRoomId,hearings[*],not_validated,not-validated-at-gate,courtRoomId,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
dateOfHearing,$.migratedCase.hearings[*].dateOfHearing,hearings[*],not_validated,not-validated-at-gate,dateOfHearing,exists_required_in_libra_optional_in_canonical,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,"Canonical already permits it; the sheet's mandatory mark for dateOfHearing must be enforced in the LIBRA validation rules, not the shared schema. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,
timeOfHearing,$.migratedCase.hearings[*].timeOfHearing,hearings[*],not_validated,not-validated-at-gate,timeOfHearing,exists_required_in_libra_optional_in_canonical,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,"Canonical already permits it; the sheet's mandatory mark for timeOfHearing must be enforced in the LIBRA validation rules, not the shared schema. Func-app: below the gate's validation depth — no change",n/a-already-in-canonical,
migrationSourceSystemCaseIdentifier,$.migratedCase.migrationSourceSystem.migrationSourceSystemCaseIdentifier,migrationSourceSystem,not_validated,not-validated-at-gate,migrationSourceSystemCaseIdentifier,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,Canonical already permits LIBRA's values; the sheet's tighter rule belongs in the LIBRA validation rules. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA string, maxLength 100 vs canonical string"
migrationSourceSystemName,$.migratedCase.migrationSourceSystem.migrationSourceSystemName,migrationSourceSystem,not_validated,not-validated-at-gate,migrationSourceSystemName,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
prosecutingAuthority,$.migratedCase.caseDetails.prosecutor.prosecutingAuthority,caseDetails.prosecutor,optional,require,prosecutingAuthority,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: declare and require prosecutingAuthority in the new LIBRA schema — the sheet marks it mandatory for every LIBRA case type; XHIBIT's own file is unchanged,n/a-already-in-canonical,
address1,$.migratedCase.defendants[*].address.address1,defendants[*].address,not_validated,not-validated-at-gate,address1,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
address2,$.migratedCase.defendants[*].address.address2,defendants[*].address,not_validated,not-validated-at-gate,address2,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
address3,$.migratedCase.defendants[*].address.address3,defendants[*].address,not_validated,not-validated-at-gate,address3,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
address4,$.migratedCase.defendants[*].address.address4,defendants[*].address,not_validated,not-validated-at-gate,address4,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
address5,$.migratedCase.defendants[*].address.address5,defendants[*].address,not_validated,not-validated-at-gate,address5,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
postcode,$.migratedCase.defendants[*].address.postcode,defendants[*].address,not_validated,not-validated-at-gate,postcode,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
bailConditions,$.migratedCase.defendants[*].individual.bailConditions,defendants[*].individual,not_validated,not-validated-at-gate,bailConditions,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
custodyStatus,$.migratedCase.defendants[*].individual.custodyStatus,defendants[*].individual,not_validated,not-validated-at-gate,custodyStatus,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].individual.custodyTimeLimit,defendants[*].individual,not_validated,not-validated-at-gate,custodyTimeLimit,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
firstName,$.migratedCase.defendants[*].individualAliases[*].firstName,defendants[*].individualAliases[*],not_validated,not-validated-at-gate,firstName,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,Canonical already permits LIBRA's values; the sheet's tighter rule belongs in the LIBRA validation rules. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA string, maxLength 35 vs canonical string"
givenName2,$.migratedCase.defendants[*].individualAliases[*].givenName2,defendants[*].individualAliases[*],not_validated,not-validated-at-gate,givenName2,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,Canonical already permits LIBRA's values; the sheet's tighter rule belongs in the LIBRA validation rules. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA string, maxLength 35 vs canonical string"
givenName3,$.migratedCase.defendants[*].individualAliases[*].givenName3,defendants[*].individualAliases[*],not_validated,not-validated-at-gate,givenName3,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,Canonical already permits LIBRA's values; the sheet's tighter rule belongs in the LIBRA validation rules. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA string, maxLength 35 vs canonical string"
lastName,$.migratedCase.defendants[*].individualAliases[*].lastName,defendants[*].individualAliases[*],not_validated,not-validated-at-gate,lastName,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,no,libra-rule-only,Canonical already permits LIBRA's values; the sheet's tighter rule belongs in the LIBRA validation rules. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA string, maxLength 35 vs canonical string"
n/a,$.migratedCase.defendants[*].individualAliases[*].title,defendants[*].individualAliases[*],not_validated,not-validated-at-gate,title,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
chargeDate,$.migratedCase.defendants[*].offences[*].chargeDate,defendants[*].offences[*],not_validated,not-validated-at-gate,chargeDate,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].offences[*].convictingCourtCode,defendants[*].offences[*],not_validated,not-validated-at-gate,convictingCourtCode,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
n/a,$.migratedCase.defendants[*].offences[*].count,defendants[*].offences[*],not_validated,not-validated-at-gate,count,not_in_libra,n/a,already_flowing,n/a,assumed_flowing,no,none,LIBRA does not supply it and canonical already allows that. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
offenceCode,$.migratedCase.defendants[*].offences[*].offenceCode,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceCode,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
offenceCommittedDate,$.migratedCase.defendants[*].offences[*].offenceCommittedDate,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceCommittedDate,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
offenceCommittedEndDate,$.migratedCase.defendants[*].offences[*].offenceCommittedEndDate,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceCommittedEndDate,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
offenceLocation,$.migratedCase.defendants[*].offences[*].offenceLocation,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceLocation,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
offenceSequenceNumber,$.migratedCase.defendants[*].offences[*].offenceSequenceNumber,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceSequenceNumber,exists_different_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Generator artefact only (minimum:0 added for N-format integers) — not a real difference. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,"LIBRA integer, maximum 999, minimum 0 vs canonical integer, maximum 999"
offenceWording,$.migratedCase.defendants[*].offences[*].offenceWording,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceWording,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
offenceWordingWelsh,$.migratedCase.defendants[*].offences[*].offenceWordingWelsh,defendants[*].offences[*],not_validated,not-validated-at-gate,offenceWordingWelsh,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
listedOffences,$.migratedCase.hearings[*].listedDefendants[*].listedOffences,hearings[*].listedDefendants[*],not_validated,not-validated-at-gate,listedOffences,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
prosecutorDefendantId,$.migratedCase.hearings[*].listedDefendants[*].prosecutorDefendantId,hearings[*].listedDefendants[*],not_validated,not-validated-at-gate,prosecutorDefendantId,exists_same_constraint,n/a,already_flowing,n/a,assumed_flowing,no,none,Identical on both sides. Func-app: below the gate's validation depth — no change,n/a-already-in-canonical,
